,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
777,150,2017,San Luis Obispo,2018-01-09T10:33:00Z,"off of Lucy Brown Rd, south of Hwy 41",Lucy Fire,2017-06-14T11:44:00Z,0.000365674
778,150,2017,Madera,2018-01-09T10:01:00Z,"off of Hwy 41 and Ave 11, north of Fresno",41 Fire,2017-05-17T15:30:00Z,0.000365674
779,150,2017,San Bernardino,2018-01-09T09:53:00Z,"Cleghorn Road, east of I-15, north of the community of Devore",Tower Fire,2017-04-30T16:03:00Z,0.000365674
780,148,2017,Trinity,2018-01-09T13:36:00Z,"off of County Line Creek Rd, near the community of Mad River",River Fire,2017-10-14T16:00:00Z,0.000360799
781,146,2017,Mendocino,2018-01-09T13:22:00Z,"Off Hwy 101 & Crawford Ranch Rd, Hopland",Grape Fire,2017-09-19T13:02:00Z,0.000355923
782,143,2017,Butte,2018-01-09T13:27:00Z,"Humboldt Rd and Soda Springs Rd, 14 miles NE Forest Ranch",Soda Fire,2017-09-28T14:46:00Z,0.00034861
783,140,2017,El Dorado,2018-01-09T12:06:00Z,"Ranch Camp Rd, Mt. Aukum",Ranch Fire,2017-07-26T13:58:00Z,0.000341296
784,136,2017,El Dorado,2018-01-09T13:21:00Z,"off French Creek Rd near Bonnetti Rd, south of the community of Shingle Springs",French Fire,2017-09-17T15:18:00Z,0.000331545
785,135,2017,Los Angeles,2018-01-09T12:07:00Z,"Gorman School Rd at I-5, Gorman, Los Angeles County",Gorman Fire,2017-07-28T15:25:00Z,0.000329107
786,135,2017,Tulare,2018-01-09T10:32:00Z,"Off of Hot Springs Road, west of the community of California Hot Springs",King Fire,2017-06-13T17:00:00Z,0.000329107
787,134,2017,Butte,2018-01-09T10:34:00Z,"off Skyway and Hwy 99, east of Chico",Skyway Fire,2017-06-16T09:27:00Z,0.000326669
788,130,2017,Calaveras,2018-01-09T13:33:00Z,"Hwy 26 and Higdon Rd., West Point",Point Fire,2017-10-09T01:10:00Z,0.000316918
789,130,2017,San Diego,2018-01-09T12:50:00Z,near Hwy 94/Marron Valley Rd in the community of Dulzura.,Border Fire,2017-09-01T04:20:00Z,0.000316918
790,130,2017,San Luis Obispo,2018-01-09T09:54:00Z,"Off Highway 41, north of Cholame",Olive Fire,2017-05-02T14:32:00Z,0.000316918
791,128,2017,Shasta,2018-01-09T11:16:00Z,"off Oak Run Rd and Pierce Hollow Rd, east of Redding",Oak Fire,2017-07-01T00:48:00Z,0.000312042
792,126,2017,Fresno,2018-01-09T09:52:00Z,"Panoche Rd, 5 miles west of I-5",Tumey Fire,2017-04-29T17:15:00Z,0.000307166
793,125,2017,Mariposa,2018-01-09T12:40:00Z,Merced Falls Rd and Coronado Rd in Lake McClure,Coronado Fire,2017-08-13T16:23:00Z,0.000304729
794,124,2017,Tuolumne,2018-01-09T12:14:00Z,"Twist Road south of Algerine Road, Jamestown",Twist Fire,2017-07-30T16:28:00Z,0.000302291
795,122,2017,Riverside,2018-01-09T12:19:00Z,Stewart Rd at Woodson Rd in Moreno Valley,Stewart Fire,2017-08-04T14:25:00Z,0.000297415
796,120,2017,San Luis Obispo,2018-01-09T12:50:00Z,"Santa Margarita Lake Rd. and W. Pozo Rd., 7 miles SE of Santa Margarita",Margarita Fire,2017-09-03T16:59:00Z,0.00029254
797,120,2017,Riverside,2018-01-09T10:16:00Z,"Lamb Canyon & Dump Road, north of Hemet ",Lamb Fire,2017-05-25T14:48:00Z,0.00029254
798,117,2017,Calaveras,2018-01-09T11:58:00Z,"Jesus Maria Road and Music Gulch Road, Mokelumne Hill ",Maria Fire,2017-07-17T12:55:00Z,0.000285226
799,116,2017,Alameda,2018-01-09T13:41:00Z,off Fallon Road 3 miles East of Dublin ,Fallon Fire,2017-10-17T14:00:00Z,0.000282788
800,114,2017,Napa,2018-01-09T12:35:00Z,Hwy 128 and Sage Canyon Rd near Lake Berryessa,Canyon Fire,2017-08-11T12:57:00Z,0.000277913
801,111,2017,Fresno,2018-01-09T12:45:00Z,"Oak Flat Lane and Sales Creek Rd., 5 miles south of Tollhouse ",Flat Fire,2017-08-26T14:31:00Z,0.000270599
802,111,2017,Butte,2018-01-09T11:01:00Z,"Lone Tree Rd & Cox Ln, south of Oroville",Lone Fire,2017-06-22T11:10:00Z,0.000270599
803,105,2017,San Luis Obispo,2018-01-09T13:26:00Z,near Cal Poly,Poly Fire,2017-09-26T15:30:00Z,0.000255972
804,105,2017,Riverside,2018-01-09T10:33:00Z,Banning,Canyon Fire,2017-06-15T11:36:00Z,0.000255972
805,103,2017,Butte,2018-04-12T14:52:00Z,"Humboldt Rd & Hwy 32, 2 miles east of Chico ",Humboldt Fire,2017-07-19T16:02:00Z,0.000251096
806,102,2017,Fresno,2018-01-09T12:48:00Z,"Mendota Road and Interstate 5, 12 miles north of Coalinga",Coalinga Fire,2017-08-30T16:51:00Z,0.000248659
807,101,2017,Santa Clara,2018-01-09T11:53:00Z,"Lariat Lane and Claitor Way, 6 miles northeast of San Jose",Lariat Fire,2017-07-11T16:51:00Z,0.000246221
808,100,2017,San Diego,2018-01-09T13:41:00Z,"off Highway 94 and Church Rd, Campo Indian Reservation ",Church Fire,2017-10-21T13:04:00Z,0.000243783
809,100,2017,Sonoma,2018-04-05T12:01:00Z,east side of Highway 12 near the Oakmont community,Oakmont Fire (Central LNU Complex),2017-10-14T20:35:00Z,0.000243783
810,100,2017,Lake,2018-01-09T13:38:00Z,"off Hwy 20 & Long Valley Rd, 5 miles east of Clearlake Oaks",Long Fire,2017-10-14T05:00:00Z,0.000243783
811,100,2017,Solano,2018-01-09T13:29:00Z,"Timm Rd and Peaceful Glen Rd, 5 miles north of Vacaville ",Timm Fire,2017-10-02T09:37:00Z,0.000243783
812,100,2017,Santa Clara,2018-01-09T12:50:00Z,"Ballybunion Ct, Gilroy",Bally Fire,2017-09-03T19:17:00Z,0.000243783
813,100,2017,Fresno,2018-01-09T12:51:00Z,"Hwy 198 and Mineral Springs Rd., 9 miles west of Coalinga",Parkfield Fire,2017-09-03T09:23:00Z,0.000243783
814,100,2017,Santa Clara,2018-01-09T12:39:00Z,Hale Ave and Tilton Ave in Morgan Hill,Tilton Fire,2017-08-11T14:55:00Z,0.000243783
815,100,2017,San Bernardino,2018-01-09T12:16:00Z,"Hwy 18 x Old Waterman Canyon Rd., 1 mile south of Crestline",Mile Fire,2017-07-31T14:44:00Z,0.000243783
816,99,2017,San Bernardino,2018-01-09T13:46:00Z,"Off Oak Glen Rd and Pine Bench Rd, east of Oak Glen",Oak Fire,2017-11-29T12:19:00Z,0.000241345
817,92,2017,Riverside,2018-01-09T12:23:00Z,Reed Valley Rd. and Forest Route 7S04 in Aguanga,Reed Fire,2017-08-07T14:14:00Z,0.00022428
818,91,2017,Fresno,2018-01-09T11:45:00Z,"off Auberry Rd, north of Clovis",Auberry Fire,2017-07-05T15:40:00Z,0.000221842
819,91,2017,Butte,2018-01-09T10:27:00Z,"Wilbur rd, north of Oroville Dam blvd    ",Wilbur Fire,2017-06-06T12:43:00Z,0.000221842
820,90,2017,Madera,2018-01-09T11:46:00Z,"Road 29 and Ave 24, near Daulton",Daulton Fire,2017-07-07T10:00:00Z,0.000219405
821,87,2017,Lake,2018-01-09T13:29:00Z,"Bartlett Springs, community of Clearlake",Ridge Fire,2017-10-06T14:38:00Z,0.000212091
822,86,2017,Ventura,2018-01-09T13:45:00Z,off Hwy 33 & Casitas Vista Rd,Vista Fire,2017-10-24T14:44:00Z,0.000209653
823,85,2017,Riverside,2018-01-09T12:49:00Z,Marlborough ave and Northgate street,Marlborough Fire,2017-08-31T10:13:00Z,0.000207215
824,85,2017,Humboldt,2018-01-09T12:17:00Z,"Off Alderpoint Rd & Lower Sawmill Rd, east of Garberville",Saw Fire,2017-08-03T11:58:00Z,0.000207215
825,85,2017,San Bernardino,2018-01-09T12:03:00Z,"off Hwy 330 & Old City Creek Rd, southwest of Running Springs",Dollar Fire,2017-07-22T13:35:00Z,0.000207215
826,85,2017,Santa Clara,2018-01-09T11:11:00Z,"Off Grant Road, Mt. Hamilton, east of San Jose",Ranch Fire,2017-06-29T13:56:00Z,0.000207215
827,82,2017,Monterey,2018-01-09T12:27:00Z,Portuguese Canyon Rd. at Cross Country Rd. southeast of Bradley,Country Fire,2017-08-07T18:08:00Z,0.000199902
828,81,2017,San Diego,2018-01-09T13:38:00Z,"Loma Range 217, Camp Pendleton",Loma Fire,2017-10-13T15:40:00Z,0.000197464
829,80,2017,El Dorado,2018-01-09T13:49:00Z,"off Hwy 395, south of Gardnerville in Nevada",Holiday Fire,2017-12-28T20:51:00Z,0.000195026
830,79,2017,Plumas,2018-01-09T13:18:00Z,"Hwy 89, ¼ mile north of Crescent Mills",Mills File,2017-09-03T20:32:00Z,0.000192589
831,79,2017,Tulare,2018-01-09T10:23:00Z,"off Avenue 56 & Road 256, 2 miles east of Ducor",Fountain Fire ,2017-05-31T11:30:00Z,0.000192589
832,78,2017,Santa Clara,2018-01-09T12:04:00Z,"off Castro Valley Rd. &  Hwy 101,  southwest of Gilroy",Castro Fire,2017-07-23T16:07:00Z,0.000190151
833,78,2017,Tehama,2018-01-09T10:25:00Z,"off of Spring Branch Rd, 7 miles east of Cottonwood",Spring Fire ,2017-06-04T16:22:00Z,0.000190151
834,76,2017,Nevada,2018-02-09T09:52:00Z,"McCourtney Rd and Hwy 20, Grass Valley",McCourtney Fire (Wind Complex),2017-10-09T00:00:00Z,0.000185275
835,76,2017,Fresno,2018-01-09T10:31:00Z,near Tivy Mountain,Tivy Fire,2017-06-11T22:45:00Z,0.000185275
836,74,2017,San Luis Obispo,2018-01-09T13:26:00Z,"Linne Rd x Geneseo Rd, east of Paso Robles",Linne Fire,2017-09-26T16:45:00Z,0.000180399
837,74,2017,El Dorado,2018-01-09T11:50:00Z,"Axel Ct & Barrister Ct, Rescue",Axel Fire,2017-07-08T16:38:00Z,0.000180399
838,74,2017,San Bernardino,2018-01-09T11:47:00Z,"Hwy 38, west of Bryant St.",Bryant Fire,2017-07-07T15:45:00Z,0.000180399
839,73,2017,San Luis Obispo,2018-01-09T13:37:00Z,"Lynch Canyon Road and Interlake Road, north of Lake Nacimiento",Lynch Fire,2017-10-13T12:14:00Z,0.000177962
840,72,2017,Riverside,2018-01-09T12:01:00Z,"off of Mc Pherson Road, Perris",Ellis Fire,2017-07-18T15:34:00Z,0.000175524
841,70,2017,San Luis Obispo,2018-01-09T12:17:00Z,"Hwy 58 near Camatta Creek Rd, east of Santa Margarita",Camatta Fire,2017-08-02T10:33:00Z,0.000170648
842,70,2017,Colusa,2018-01-09T11:58:00Z,"Sand Creek Rd, west of Arbuckle",Sand Fire,2017-07-17T13:17:00Z,0.000170648
843,70,2017,Santa Clara,2018-01-09T11:52:00Z,"San Felipe Road and Metcalf Road, 8 miles northeast of Morgan Hill",Felipe Fire,2017-07-10T15:54:00Z,0.000170648
844,70,2017,Fresno,2018-01-09T10:05:00Z,"Interstate 5 and Manning Avenue, north of Coalinga",Manning Fire,2017-05-19T23:28:00Z,0.000170648
845,69,2017,Fresno,2018-01-09T12:46:00Z,Hwy 180 from Hills Valley to Ruth Hill,Hill Fire,2017-08-27T18:47:00Z,0.00016821
846,68,2017,Sacramento,2018-01-09T10:22:00Z,"off Clay East Rd, east of Herald",Clay Fire,2017-06-01T15:38:00Z,0.000165772
847,67,2017,Lassen,2018-01-09T10:26:00Z,"east of Hwy 395, Doyle",River Fire,2017-06-04T16:12:00Z,0.000163335
848,65,2017,Stanislaus,2018-01-09T10:59:00Z,"Off Sonora Rd & Orange Blossom Rd, east of Oakdale",Orange Fire,2017-06-21T14:45:00Z,0.000158459
849,63,2017,Riverside,2018-01-09T12:07:00Z,"Placentia Ave. at Eureka St, Nuevo",Placentia Fire,2017-07-28T18:11:00Z,0.000153583
850,63,2017,Mariposa,2018-01-09T10:33:00Z,west of  Westfall Road and north of Whiterock Road,Westfall Fire,2017-06-15T07:30:00Z,0.000153583
851,62,2017,San Diego,2018-01-09T12:44:00Z,"Montezuma Valley Rd., near the Community of Borrego Springs.",Montezuma Fire,2017-08-26T11:30:00Z,0.000151145
852,62,2017,Lake,2018-01-09T12:28:00Z,Bottle Rock Rd and Highway 29 in Kelseyville,Bottle Fire,2017-08-08T16:40:00Z,0.000151145
853,62,2017,Stanislaus,2018-01-09T11:48:00Z,Off Hwy 132 & Lake Rd,Lake Fire,2017-07-08T11:00:00Z,0.000151145
854,60,2017,Tehama,2018-01-09T10:35:00Z,"Hwy 36 West, off Tedoc Roadd, west of Platina",Bolla Fire,2017-06-18T07:15:00Z,0.00014627
855,59,2017,Tulare,2018-01-09T11:59:00Z,"off Balch Park Rd & Bear Creek Dr, 4 miles north of Springville ",Fox Fire,2017-07-17T15:32:00Z,0.000143832
856,59,2017,Calaveras,2018-01-09T11:53:00Z,Quail Oaks Rd. and Oak Hill Dr. near Valley Springs ,Quail Fire,2017-07-12T13:10:00Z,0.000143832
857,58,2017,Fresno,2018-01-09T13:36:00Z,"Elwood Road and Silver Lane, northwest of Squaw Valley",Silver Fire,2017-10-11T15:59:00Z,0.000141394
858,58,2017,Lake,2018-01-09T13:20:00Z,"Elk Mountain Rd, west of Lake Pillsbury",Slides Fire,2017-09-12T16:08:00Z,0.000141394
859,58,2017,Tulare,2018-01-09T12:01:00Z,"off of Hogback Rd and Whitaker Forest Dr, Badger",Hogback Fire,2017-07-18T15:50:00Z,0.000141394
860,58,2017,San Luis Obispo,2018-01-09T11:48:00Z,"off northbound Hwy 101, near the Cuesta Grade",Tower Fire,2017-07-07T16:23:00Z,0.000141394
861,57,2017,Tehama,2018-01-09T12:07:00Z,"Live Oak Road, Community of Ridgway, west of Red Bluff",Live Fire,2017-07-28T13:24:00Z,0.000138956
862,57,2017,Fresno,2018-01-09T11:43:00Z,"Ashland and Riverbend Ave, Sanger City",Freedom Fire,2017-07-04T13:21:00Z,0.000138956
863,56,2017,Siskiyou,2018-01-09T10:59:00Z,Ager Beswick Rd. and Crest Ln. south of Copco Lake,Bogus Fire,2017-06-18T15:45:00Z,0.000136518
864,55,2017,Solano,2018-01-09T13:23:00Z,"Estate Rd & John Wayne Rd, north of Vacaville",Estate Fire,2017-09-23T11:05:00Z,0.000134081
865,55,2017,Siskiyou,2018-01-09T12:47:00Z,"off of Owens Rd and Hwy 97, northeast of Dorris ",Owens Fire,2017-08-29T15:39:00Z,0.000134081
866,55,2017,Los Angeles,2018-01-09T11:11:00Z,Off Topanga Canyon & Pacific Coast Hwy in Malibu,Topanga Fire,2017-06-29T15:09:00Z,0.000134081
867,54,2017,Siskiyou,2018-01-09T12:46:00Z,West of Dunsmuir,Bradley Fire,2017-08-28T22:00:00Z,0.000131643
868,54,2017,Siskiyou,2018-01-09T12:46:00Z,"Bradley Ridge, City of Dunsmuir ",Bradley Fire,2017-08-28T21:38:00Z,0.000131643
869,54,2017,Santa Clara,2018-01-09T11:00:00Z,"Off Quimby Rd, west of Grant Ranch Park, East San Jose",Quimby Fire,2017-06-21T18:02:00Z,0.000131643
870,51,2017,Santa Clara,2018-01-09T12:07:00Z,"Weller Rd and Calaveras Rd, 3 miles east of Milpitas",Weller Fire,2017-07-26T23:19:00Z,0.000124329
871,50,2017,Kern,2018-01-09T13:45:00Z,"Hwy 58 and Keene Ranch Rd, community of Keene",Tank Fire,2017-10-26T11:55:00Z,0.000121891
872,50,2017,Riverside,2018-01-09T13:42:00Z,"Lambs Canyon Road & Gilman Springs Road, Gilman Springs",Extension Fire,2017-10-23T10:31:00Z,0.000121891
873,50,2017,Los Angeles,2018-01-09T13:40:00Z,off Mount Wilson Circle near the Mount Wilson Observatory ,Wilson Fire,2017-10-17T03:43:00Z,0.000121891
874,50,2017,San Mateo,2018-01-09T13:20:00Z,"Skyline Rd and Skeggs Point, 3 miles west of Woodside",Skeggs Fire,2017-09-11T19:41:00Z,0.000121891
875,50,2017,Kern,2018-01-09T12:19:00Z,"Old State Rd & Dollar Rd, Wofford Heights",Calgary Fire,2017-08-05T13:16:00Z,0.000121891
876,50,2017,Santa Barbara,2018-01-09T11:59:00Z,"Zaca Station Road and Foxen Canyon Road, north of Los Olivos",Mesa Fire,2017-07-17T14:55:00Z,0.000121891
877,50,2017,Yuba,2018-01-09T11:50:00Z,"Camp Far West Rd & Wichita Way, east of Olivehurst",West Fire,2017-07-08T16:47:00Z,0.000121891
878,50,2017,Ventura,2018-01-09T11:43:00Z,"off Hwy 101 & Camarillo Springs Rd, Camarillo Springs",Grade Fire,2017-07-04T14:45:00Z,0.000121891
879,50,2017,Riverside,2018-01-09T11:41:00Z,"Lake Perris State Recreation Area, Moreno Valley (Riverside County)",Lago Fire,2017-07-03T15:14:00Z,0.000121891
880,50,2017,San Diego,2018-01-09T10:32:00Z,"Hwy. 76 & College Blvd., Oceanside, Camp Pendleton",Douglas Fire,2017-06-13T14:31:00Z,0.000121891
881,48,2017,Madera,2018-01-09T13:23:00Z,"off Arburua Road and I-5, southwest of Los Banos",Power Fire,2017-09-20T21:07:00Z,0.000117016
882,48,2017,Riverside,2018-01-09T10:21:00Z,off Avenue 64 and Las Serenas Street,Serenas Fire,2017-05-28T15:27:00Z,0.000117016
883,47,2017,San Benito,2018-01-09T13:46:00Z,Airline Hwy and Bitterwater Road,Bitterwater Fire,2017-11-25T16:46:00Z,0.000114578
884,47,2017,San Luis Obispo,2018-01-09T12:03:00Z,"off Zenon Way, Nipomo ",Zenon Fire,2017-07-20T14:43:00Z,0.000114578
885,46,2017,Riverside,2018-01-09T12:45:00Z,"Highway 74 and South Main Divide, 2 miles southwest of Lake Elsinore",Canyon Fire,2017-08-27T14:51:00Z,0.00011214
886,46,2017,San Bernardino,2018-01-09T11:54:00Z,"Hwy 330, 1 mile north of Highland ",Hidden Fire,2017-07-12T15:29:00Z,0.00011214
887,46,2017,Siskiyou,2018-01-09T10:27:00Z,"Whitepine Road and Blue Heron Place, 10 miles east of Hornbrook ",Whitepine Fire,2017-06-06T16:38:00Z,0.00011214
888,45,2017,Riverside,2018-01-09T13:49:00Z,"Mission Inn Ave. and Redwood Dr., Riverside",Riverbottom Fire,2017-12-21T11:16:00Z,0.000109702
889,45,2017,San Luis Obispo,2018-01-09T13:34:00Z,near 3055  West Pozo Rd,Pozo Fire,2017-10-09T14:30:00Z,0.000109702
890,45,2017,Shasta,2018-01-09T09:41:00Z,"Grace Resort Rd and Bluebush Way, 2 miles SE of the Community of Shingletown",Grace Fire,2017-04-03T16:00:00Z,0.000109702
891,44,2017,Alameda,2018-01-09T12:45:00Z,"Mines Road and Crane Ridge Road, 8 miles S of Livermore",Mines Fire,2017-08-27T17:45:00Z,0.000107264
892,43,2017,Tehama,2018-01-09T13:46:00Z,"Roser Rd & Sour Grass Rd, 6 miles NW of Orland",Roser Fire,2017-11-02T14:40:00Z,0.000104827
893,43,2017,Monterey,2018-01-09T13:19:00Z,"off of Hwy 198 and Pine Valley, east of San Lucas",Pine Fire,2017-09-11T15:11:00Z,0.000104827
894,42,2017,Monterey,2018-01-09T11:11:00Z,off San Lucas Rd and Martinez Rd,Lockwood Fire,2017-06-29T20:44:00Z,0.000102389
895,42,2017,Tehama,2018-01-09T11:07:00Z,"Off Paskenta Rd, west of Red Bluff",Paskenta Fire,2017-06-24T11:15:00Z,0.000102389
896,42,2017,Modoc,2018-01-09T10:24:00Z,"Off Hwy 395, south of Alturas",Jones Fire,2017-06-03T13:09:00Z,0.000102389
897,41,2017,Siskiyou,2018-01-09T12:38:00Z,Wards Fork south of Donomore Meadows near the Oregon border.,Ward Fire,2017-08-13T12:41:00Z,1.00E-04
898,41,2017,Los Angeles,2018-01-09T11:11:00Z,Stokes Rd. and Mulholland Dr in Calabasas ,Stokes Fire,2017-06-29T15:45:00Z,1.00E-04
899,41,2017,Kern,2018-01-09T09:57:00Z,"Sabastian Rd and Wheeler, southeast of Arvin ",Feed Fire,2017-05-14T14:00:00Z,1.00E-04
900,40,2017,Riverside,2018-01-09T13:47:00Z," Riverdale Place and Lakeview Ave, Santa Ana Riverbed ",Riverdale Fire,2017-12-04T12:26:00Z,9.75E-05
901,40,2017,Riverside,2018-01-09T13:46:00Z,"Off Palm Dr & 20th Ave, Desert Hot Springs",Palm Fire,2017-11-14T16:11:00Z,9.75E-05
902,40,2017,San Bernardino,2018-01-09T13:45:00Z,"Interstate 15 and Interstate 210, Rancho Cucamonga",Freeway Fire,2017-10-24T10:27:00Z,9.75E-05
903,40,2017,Shasta,2018-01-09T13:31:00Z,"off of Argonaut Trail and Dry Creek Rd, Jones Valley",Jones Fire,2017-10-08T04:53:00Z,9.75E-05
904,40,2017,Kern,2018-01-09T13:29:00Z,"Todd Ct and Brick Dr, east of Lake Isabella",Lakewood Fire,2017-09-29T15:58:00Z,9.75E-05
905,40,2017,Del Norte,2018-01-09T13:20:00Z,"off Low Divide Rd, west of Rockland",Hole Fire,2017-09-12T12:45:00Z,9.75E-05
906,40,2017,Humboldt,2018-01-09T12:46:00Z,"Tish Tang Road and Hostler, Hoopa",Translator Fire,2017-08-28T08:01:00Z,9.75E-05
907,40,2017,Tehama,2018-01-09T12:45:00Z,"Hwy 36 and Vestal Road, west of Red Bluff",Vestal Fire,2017-08-26T15:03:00Z,9.75E-05
908,40,2017,Lake,2018-01-09T11:59:00Z,"Hwy 29 and Agua Dulce, 3 miles south of Lower lake",Murphy Fire,2017-07-17T14:44:00Z,9.75E-05
909,40,2017,Monterey,2018-01-09T11:56:00Z,"off Reservation Rd and Blanco Rd, east of the city of Marina",Reservation Fire,2017-07-16T11:17:00Z,9.75E-05
910,39,2017,Tuolumne,2018-03-26T10:49:00Z,"On Table Mountain, west of Table Mountain Road and Chicken Ranch Road, Jamestown",Table Fire,2017-09-19T00:22:00Z,9.51E-05
911,39,2017,Yuba,2018-01-09T12:05:00Z,"Spenceville Rd & Monarch Trail Dr, Wheatland",Spenceville Fire,2017-07-24T14:56:00Z,9.51E-05
912,39,2017,Solano,2018-01-09T11:01:00Z,"off of I-80 and Sonoma Blvd,  Vallejo",Toll Fire,2017-06-22T13:08:00Z,9.51E-05
913,38,2017,Marin,2018-01-09T11:09:00Z,"off San Geronimo Ridge Road and Pine Mountain Fire Road, south of Woodacre ",Pine Fire,2017-06-27T10:39:00Z,9.26E-05
914,38,2017,Tuolumne,2018-01-09T10:31:00Z,"Red Hills Road & Six Bit Gulch Road, 2 miles southwest of Chinese Camp",Red Fire,2017-06-11T18:49:00Z,9.26E-05
915,37,2017,Shasta,2018-01-09T13:46:00Z,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ", Bridge Fire,2017-10-31T11:22:00Z,9.02E-05
916,36,2017,Mariposa,2018-01-09T11:48:00Z,"Banderilla Dr & Hidalgo St, north of Hayward",Banderilla Fire,2017-07-07T15:50:00Z,8.78E-05
917,36,2017,San Diego,2018-01-09T11:07:00Z,"Off Black Canyon Rd & Mesa Grande Rd, Ramona",Black Fire,2017-06-25T12:09:00Z,8.78E-05
918,35,2017,Riverside,2018-01-09T13:28:00Z,Hy 74 and Melba Avenue,Melba Fire,2017-09-29T18:01:00Z,8.53E-05
919,35,2017,Marin,2018-01-09T11:54:00Z,"Point Reyes - Petaluma Road, Petaluma",Spaletta Fire,2017-07-12T16:15:00Z,8.53E-05
920,35,2017,Riverside,2018-01-09T11:43:00Z,Off Van Buren Bl & Jurupa Rd in Jurupa Valley,Jurupa Fire,2017-07-04T15:20:00Z,8.53E-05
921,35,2017,Sacramento,2018-01-09T11:09:00Z,"off Hwy 16 & Latrobe Rd, east of White Rock (Sacramento County)",Latrobe Fire,2017-06-27T07:39:00Z,8.53E-05
922,35,2017,Kern,2018-01-09T10:29:00Z,"Breckenridge Rd and Comanche Dr., 5 miles east of Bakersfield ",Breckenridge Fire,2017-06-09T04:53:00Z,8.53E-05
923,35,2017,Riverside,2018-01-09T10:07:00Z,Reche Canyon Road and Smiley Boulevard,Smiley Fire,2017-05-21T16:12:00Z,8.53E-05
924,34,2017,San Bernardino,2018-01-09T13:47:00Z,"near the Hwy 15 and Hwy 215 junction, near Glen Helen Regional Park ",Meyers Fire,2017-12-05T13:28:00Z,8.29E-05
925,34,2017,Riverside,2018-01-09T13:19:00Z,"Ellie Way and El Toro Road, Lake Elsinore",Ellie Fire,2017-09-10T13:49:00Z,8.29E-05
926,34,2017,Humboldt,2018-01-09T12:49:00Z,"Miller Ranch road x Bell Springs road, 10 miles NE Leggett ",Miller Fire,2017-08-31T13:57:00Z,8.29E-05
927,34,2017,San Benito,2018-01-09T11:42:00Z,"Off Santa Ana Valley Rd & Douglas Dr, Hollister",Valley Fire,2017-07-04T13:21:00Z,8.29E-05
928,33,2017,Riverside,2018-01-09T11:46:00Z,"off Christmas Tree Ln & Santa Rosa Mine Rd, in Good Meadow",Christmas Fire,2017-07-07T12:56:00Z,8.04E-05
929,33,2017,Riverside,2018-01-09T10:32:00Z,"San Ignacio Road and East Benton Road, Temecula",Valley Fire,2017-06-13T12:00:00Z,8.04E-05
930,33,2017,Kern,2018-01-09T10:24:00Z,"off Erskine Creek Rd and Pasadena Ln, southwest of Lake Isabella",Creek Fire ,2017-06-04T22:11:00Z,8.04E-05
931,32,2017,Trinity,2018-01-09T12:16:00Z,"North of Hwy 299, west of Del Loma",Sandy Fire,2017-08-02T11:13:00Z,7.80E-05
932,32,2017,Trinity,2018-01-09T12:17:00Z,"Sandy Bar, Hwy 299, 4 miles east of Burnt Ranch",Sandy Fire,2017-08-02T08:30:00Z,7.80E-05
933,32,2017,Riverside,2018-01-09T11:54:00Z,"Field Drive & Patterson Road, Community of Winchester",Washington Fire,2017-07-13T10:28:00Z,7.80E-05
934,32,2017,Monterey,2018-01-09T10:34:00Z,"Jolon Rd and Frudden Rd, near Lockwood",Shore Fire,2017-06-16T15:49:00Z,7.80E-05
935,32,2017,Monterey,2018-01-09T10:30:00Z,"New Pleyto Road cross of Stern st, Lockwood",Pleyto Fire,2017-06-11T18:12:00Z,7.80E-05
936,31,2017,Monterey,2018-01-09T13:40:00Z,"off York Road and S Boundary Road, east of Monterey ",York Fire,2017-10-15T14:55:00Z,7.56E-05
937,31,2017,Fresno,2018-01-09T12:44:00Z,"off of Highway 198 west of Parsons Road, Coalinga",Juniper Fire,2017-08-23T13:28:00Z,7.56E-05
938,31,2017,Kern,2018-01-09T09:55:00Z,"Red Hill Road and Schick Road, 2 miles east of Lake Isabella",Hub Fire,2017-05-12T05:05:00Z,7.56E-05
939,30,2017,Los Angeles,2018-03-22T16:34:00Z,"I-5, north of Hughes Rd., 2 miles north of Lake Hughes",Castaic Fire,2017-08-31T16:32:00Z,7.31E-05
940,30,2017,Humboldt,2018-01-09T12:18:00Z,"Off Alderpoint Rd and Cemetery Rd, Blocksburg",Blocksburg Fire,2017-08-03T16:41:00Z,7.31E-05
941,30,2017,Riverside,2018-01-09T11:42:00Z,"off Moreno Beach Dr & Locust, north of Moreno Valley",Timber Fire,2017-07-03T19:31:00Z,7.31E-05
942,29,2017,El Dorado,2018-01-09T13:35:00Z,"off Ice House Road and US-50, east of Riverton, 13 miles east of Camino",Ice Fire,2017-10-10T15:36:00Z,7.07E-05
943,29,2017,Tehama,2018-01-09T11:51:00Z,"Benson Rd, Bowman., 11 miles northwest of Red Bluff",Benson Fire,2017-07-08T18:58:00Z,7.07E-05
944,28,2017,Butte,2018-01-09T13:24:00Z,"Hwy 32 and Humboldt Road, 5 miles northeast of Chico ",32 Fire,2017-09-25T11:03:00Z,6.83E-05
945,28,2017,Modoc,2018-01-09T12:48:00Z,"4 miles east of Dorris Reservoir, east of Alturas",4-4 Fire,2017-08-30T11:38:00Z,6.83E-05
