,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
558,50,2016,El Dorado,2016-07-23T18:00:00Z,off Storksbill Rd in Pilot Hill ,Storksbill Fire,2016-07-22T13:15:00Z,0.000121891
559,50,2016,Ventura,2016-04-30T07:00:00Z,"near Casitas Vista and Ventura Avenue, south of Casitas Springs  ",Casitas Fire,2016-04-28T19:00:00Z,0.000121891
560,49,2016,Butte,2016-06-21T16:30:00Z,off Highway 70 at Palermo Rd.,70 Fire,2016-06-21T15:09:00Z,0.000119454
561,47,2016,Nevada,2016-09-20T18:00:00Z,"Off South Auburn Street and Whiting Street, Grass Valley",Auburn Fire,2016-09-17T13:40:00Z,0.000114578
562,47,2016,Orange,2016-06-29T18:30:00Z,"n Laguna Coast Wilderness Park, 2½ miles northeast of Laguna Beach",Laguna Fire,2016-06-26T13:10:00Z,0.000114578
563,45,2016,Amador,2016-09-25T17:45:00Z,"off Hwy 49 and Bell Road, 4 miles north of Plymouth ",Bell Fire,2016-09-23T13:12:00Z,0.000109702
564,45,2016,Lake,2016-08-10T17:00:00Z,"off of Kugelman St and Hwy 53, community of Lower Lake",Kugelman Fire,2016-08-09T17:30:00Z,0.000109702
565,45,2016,Ventura,2016-07-01T19:50:00Z,"off Hwy 118 at Rocky Peak Rd, NE Simi Valley",Kuehner Fire,2016-07-01T14:00:00Z,0.000109702
566,43,2016,Tehama,2016-06-21T13:00:00Z,"off Paskenta Rd & Boggs and Chaplin Rd, 18 miles west of Corning",Paskenta Fire,2016-06-21T10:26:00Z,0.000104827
567,43,2016,Kern,2016-06-04T17:00:00Z,"Jacobs Road, community of Caliente",Walker Fire,2016-05-30T17:57:00Z,0.000104827
568,42,2016,Lassen,2016-08-01T19:40:00Z,"off Hwy 36E & County Rd A1, west of Susanville ",Dockery Fire,2016-07-30T16:25:00Z,0.000102389
569,40,2016,Sacramento,2016-09-12T19:00:00Z,"off of Boys Ranch Road and Scott Road, northwest of Rancho Murieta",Boys Fire,2016-09-11T11:25:00Z,9.75E-05
570,40,2016,Riverside,2016-08-29T15:00:00Z,off Evergreen Street in Lakeland Village near Lake Elsinore ,Evergreen Fire,2016-08-28T15:23:00Z,9.75E-05
571,40,2016,Contra Costa,2016-07-24T19:00:00Z,"Cummings Skyway & Franklin Canyon, 6 miles southeast of Rodeo",Franklin Fire,2016-07-24T16:30:00Z,9.75E-05
572,38,2016,Nevada,1969-12-31T16:00:00Z,west of Fordyce Lake near Soda Springs ,Phoenix Fire,2016-09-07T15:09:00Z,9.26E-05
573,38,2016,Madera,2016-07-31T18:55:00Z,"Off Mammoth Pool Rd & Douglas Ranger Station Rd, east of North Fork",Fork Fire,2016-07-29T17:55:00Z,9.26E-05
574,36,2016,Mendocino,2016-08-31T07:15:00Z,"off Mina Rd & Trinity County Line, 12 miles northeast of Covelo",Mina Fire,2016-08-30T13:35:00Z,8.78E-05
575,36,2016,Lake,2016-08-10T17:00:00Z,"Berryessa Knoxville Rd & East Side Rd, north of Lake Berryessa",Knoxville Fire,2016-08-09T18:50:00Z,8.78E-05
576,35,2016,San Diego,2016-08-11T18:30:00Z,"I-15 & Lawrence Welk Drive, Gopher Canyon",Gopher Fire,2016-08-10T09:14:00Z,8.53E-05
577,35,2016,Shasta,2016-08-10T17:00:00Z,"Near Iron Mountain Road, south of Keswick ",Mountain Fire,2016-08-09T12:14:00Z,8.53E-05
578,35,2016,Butte,2016-07-29T15:10:00Z,"Off Neal Rd east of Hwy 99e, south of Chico",Neal Fire,2016-07-28T14:27:00Z,8.53E-05
579,35,2016,Calaveras,2016-07-13T19:00:00Z,"off Stagecoach Rd and Hwy 4, south of Copperopolis",Stagecoach Fire,2016-07-12T15:19:00Z,8.53E-05
580,33,2016,Calaveras,2016-06-30T07:00:00Z,"off Campo Seco and Chili Camp Road, near Burson ",Campo Fire,2016-06-27T18:00:00Z,8.04E-05
581,32,2016,Siskiyou,2016-09-13T18:30:00Z,"off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones",Moffett Fire,2016-09-12T16:28:00Z,7.80E-05
582,32,2016,Tuolumne,2016-08-01T08:05:00Z,"Off Frymire Rd & Morrison Rd, east of Oakdale",Frymire Fire,2016-07-30T17:25:00Z,7.80E-05
583,32,2016,Sacramento,2016-06-03T19:55:00Z,off Highway 104 and Clay East Road near Herald,Clay Fire,2016-06-03T16:57:00Z,7.80E-05
584,30,2016,Butte,2016-09-19T18:30:00Z,"Off of Old Chico Canyon, west of Forest Ranch",Old Fire,2016-09-16T23:28:00Z,7.31E-05
585,30,2016,Inyo,2016-07-02T20:00:00Z,"Whitney Portal Rd. and OlivasRanch Rd., 3 miles West of Lone Pine",Lone Pine Fire,2016-07-01T12:56:00Z,7.31E-05
586,30,2016,San Benito,2016-06-03T17:30:00Z,"off Hidden Valley Rd & Cienega Rd, southwest of Hollister ",Hidden Fire,2016-06-03T17:39:00Z,7.31E-05
587,30,2016,Butte,2016-05-29T19:53:00Z,Hwy 70 between Clark Rd and Wheelock Rd,70 Fire,2016-05-29T16:51:00Z,7.31E-05
588,30,2016,Merced,2016-04-24T15:30:00Z,"I-5 & Taglio Road, east of Gustine",Taglio Fire,2016-04-24T11:10:00Z,7.31E-05
589,28,2016,San Diego,2016-11-14T18:00:00Z,Off Gopher Canyon & Interstate 15,Gopher Fire,2016-11-13T11:14:00Z,6.83E-05
590,28,2016,San Diego,2016-07-24T14:30:00Z,"off Highway 67 & Rockhouse Road, near Ramona",Rock Fire,2016-07-22T14:47:00Z,6.83E-05
591,26,2016,Amador,2016-08-06T10:06:00Z,"off of Deer Ridge Lane and Buena Vista Road, north of Valley Springs ",Deer Fire,2016-08-05T13:49:00Z,6.34E-05
592,26,2016,Siskiyou,2016-07-20T09:00:00Z,"Hwy 5 at Bailey Hill, 2 mi southeast of Hilt",Bailey Fire,2016-07-19T14:09:00Z,6.34E-05
593,25,2016,Santa Clara,2016-09-02T06:55:00Z,"Off Oak Glen Ave, 2 miles west of Morgan Hill",Oak Fire,2016-09-01T14:36:00Z,6.09E-05
594,25,2016,Santa Clara,2016-08-14T19:50:00Z,off Uvas Rd & Watsonville Rd. west of Morgan Hill,Oak Fire,2016-08-12T16:00:00Z,6.09E-05
595,25,2016,El Dorado,2016-08-07T19:18:00Z,"off of Hwy 50 at Riverton, west of Kyburz",Alder Fire,2016-08-06T15:00:00Z,6.09E-05
596,25,2016,Lake,2016-07-31T18:50:00Z,"Off Ogulin Rd & Highway 53, Clearlake Oaks",North Branch Extension Fire,2016-07-29T14:55:00Z,6.09E-05
597,25,2016,El Dorado,2016-06-04T15:30:00Z,off Mount Aukum Road & Grizzly Flat Road,Aukum Fire,2016-06-03T12:41:00Z,6.09E-05
598,25,2016,Monterey,2016-05-12T20:45:00Z,"Bryson-Hesperia Rd & Interlake Rd, west of Bradley ",Bryson Fire,2016-05-12T14:13:00Z,6.09E-05
599,24,2016,Shasta,2016-06-12T15:00:00Z,near Keswick Dam Road x Iron Mountain Road N/W of Redding,Keswick Fire,2016-06-11T16:02:00Z,5.85E-05
600,23,2016,Humboldt,2016-08-16T08:45:00Z,"Community of Stafford, 7 miles south of Fortuna",Stafford Fire,2016-08-11T14:57:00Z,5.61E-05
601,23,2016,Siskiyou,2016-07-22T12:00:00Z,"Table Rock Rd & Harry Cash Rd, Montague",Table Fire,2016-07-21T20:30:00Z,5.61E-05
602,21,2016,Humboldt,2016-08-19T08:30:00Z,Three Creeks Summit and Bair Rd. 8 miles west of Willow Creek,Summit Fire,2016-08-12T17:23:00Z,5.12E-05
603,20,2016,San Bernardino,2016-09-04T18:55:00Z,Off I-15 Between Kenwood and Blue Cut in the Cajon Pass,Ken Fire,2016-09-03T21:51:00Z,4.88E-05
