AcresBurned,ArchiveYear,Latitude,Longitude,Injuries,PersonnelInvolved,PercentContained,StructuresDestroyed,Severity
130,2014,37.7103,-120.197,1,10,100,0,0.000566101
113,2014,37.399,-118.352,0,256,100,0,0.000492072
75,2014,40.5719,-121.3415,0,108,100,0,0.000326597
69438,2015,38.8863538,-122.4762475,0,227,100,96,0.302376318
4250,2015,34.339,-117.478,0,215,100,68,0.018507148
2700,2015,37.3845,-121.3732,0,18,100,0,0.011757482
2446,2015,35.3477,-120.6269,1,692,100,1,0.010651408
2304,2015,39.192088,-120.882313,6,27,100,2,0.010033052
1086,2015,36.3699644,-121.589554,0,55,100,20,0.004729121
1049,2015,33.884313,-117.642759,0,54,100,0,0.004568
1042,2015,39.5218,-121.3363,1,613,100,0,0.004537517
920,2015,37.165767,-119.523943,0,43,100,3,0.004006253
673,2015,55.23,-122,0,270,100,0,0.002930661
670,2015,36.70854,-121.32734,3,108,100,0,0.002917597
400,2015,39.43963,-121.38794,0,8,100,16,0.001741849
212,2015,40.415108,-122.439939,2,120,100,5,0.00092318
204,2015,37.823,-120.15644,0,115,100,0,0.000888343
158,2015,41.295667,-123.784067,2,57,100,0,0.00068803
158,2015,39.2688,-121.26471,3,250,100,0,0.00068803
150,2015,38.4113,-122.0789,0,275,100,0,0.000653193
146,2015,40.1058823,-124.0720419,0,45,100,0,0.000635775
114,2015,38.052,-120.5577,0,20,100,0,0.000496427
109,2015,40.47512,-122.52541,0,45,100,0,0.000474654
108,2015,38.04684,-120.30188,1,59,100,3,0.000470299
95,2015,35.7183,-121.0157,0,379,100,0,0.000413689
86,2015,36.49845,-118.9009,4,150,100,0,0.000374498
75,2015,40.509552,-122.199227,2,40,100,1,0.000326597
72,2015,26.42,-121,0,190,100,1,0.000313533
40,2015,38.1029,-122.1578,0,70,100,0,0.000174185
38,2015,38.5287,-122.3415,0,120,100,0,0.000165476
24,2015,41.999341,-121.891226,0,49,100,0,0.000104511
20,2015,41.1513,-123.8292,0,195,100,0,8.71E-05
36274,2016,34.30372,-117.49342,0,914,100,321,0.157959598
8110,2016,34.28771,-117.27338,1,960,100,0,0.035315993
7609,2016,32.60729,-116.63028,0,78,100,16,0.033134327
7050,2016,36.09974,-120.51057,0,20,100,2,0.030700093
5731,2016,38.52513,-122.06788,0,58,100,2,0.024956345
4474,2016,37.10632,-121.85318,0,62,100,28,0.019482584
3929,2016,38.89741,-122.60664,0,32,100,300,0.017109314
3876,2016,36.38123,-121.20059,1,22,100,0,0.016878519
2944,2016,36.0749,-120.452041,0,188,100,0,0.01282001
2575,2016,40.3915,-120.7845,1,78,100,7,0.011213154
2241,2016,37.01591,-119.50507,0,167,100,4,0.00975871
1547,2016,38.80017,-122.82895,2,14,100,0,0.006736602
1080,2016,37.79635,-120.32484,0,92,100,0,0.004702993
850,2016,39.6871,-121.571,3,133,100,3,0.00370143
599,2016,41.28486,-123.82268,0,174,100,3,0.002608419
441,2016,40.36873,-122.72913,1,241,100,1,0.001920389
360,2016,40.30594,-122.1295,0,168,100,0,0.001567664
215,2016,39.12366,-122.50373,0,350,100,0,0.000936244
70,2016,33.41639,-117.08829,3,250,100,7,0.000304824
69,2016,39.0863,-122.7891,0,14,100,0,0.000300469
65,2016,38.40958,-122.43172,0,86,100,0,0.000283051
45,2016,38.5212,-120.8416,0,150,100,0,0.000195958
30,2016,39.624017,-121.595093,0,42,100,0,0.000130639
36556,2017,36.15356,-118.74103,5,1728,100,2,0.159187602
28687,2017,35.0179,-120.3223,0,153,100,0,0.124921072
10343,2017,36.12089,-120.37116,0,432,100,0,0.045039867
9217,2017,33.87041,-117.70975,4,677,100,25,0.040136561
8417,2017,39.62496,-121.52966,0,97,100,6,0.036652863
6049,2017,34.45283,-118.58188,0,652,100,6,0.026341115
6033,2017,39.45352,-121.41222,0,148,100,41,0.026271441
2269,2017,38.49521,-122.0251,4,123,100,0,0.00988064
2056,2017,32.65597,-116.80527,0,665,100,0,0.008953105
1649,2017,35.95911,-120.55579,0,727,100,0,0.007180773
1431,2017,37.0825,-119.8011,0,13,100,0,0.006231466
995,2017,40.98352,-121.81623,3,317,100,0,0.00433285
680,2017,37.37397,-119.83556,0,8,100,2,0.002961144
630,2017,37.3762,-119.9646,0,380,100,0,0.002743413
392,2017,39.34292,-121.12004,1,48,100,0,0.001707012
391,2017,37.18356,-122.07012,1,10,100,6,0.001702658
339,2017,36.45809,-118.87676,4,435,100,0,0.001476217
225,2017,37.4591,-119.921,0,498,100,0,0.00097979
150,2017,39.74679,-121.67261,0,13,100,0,0.000653193
135,2017,35.8556,-118.74542,2,212,100,0,0.000587874
130,2017,32.6001,-116.76997,0,220,100,0,0.000566101
114,2017,38.49336,-122.2483,0,55,100,0,0.000496427
70,2017,39.01224,-122.20127,0,76,100,0,0.000304824
50,2017,37.41591,-122.3001,0,85,100,0,0.000217731
22,2017,38.68347,-122.2654,0,80,100,0,9.58E-05
17,2017,40.92602,-121.5935,0,20,100,0,7.40E-05
229651,2018,40.65428,-122.62357,0,456,100,1614,1.000043546
229651,2018,40.65428,-122.62357,0,456,100,1614,1.000043546
153336,2018,39.8134,-121.4347,3,1065,100,18804,0.667720485
48920,2018,39.04786,-123.11971,0,3100,100,35,0.213028161
48920,2018,39.04786,-123.11971,0,3100,100,35,0.213028161
48920,2018,39.04786,-123.11971,0,3100,100,35,0.213028161
38008,2018,41.893332,-122.534655,3,350,100,83,0.165510514
3889,2018,40.22027778,-122.18,0,196,100,0,0.016935129
2883,2018,36.6734,-118.21881,0,564,100,0,0.012554378
2162,2018,38.431278,-122.043747,0,180,100,1,0.009414695
1265,2018,36.71537,-118.08449,0,325,100,0,0.005508598
320,2018,37.449425,-121.88807,0,150,100,1,0.001393479
63,2018,40.741186,-122.649626,0,98,100,0,0.000274341
51,2018,40.824,-121.90215,0,192,100,0,0.000222086
43,2018,39.57202,-121.43131,2,168,100,0,0.000187249
33,2018,39.84151,-121.62168,0,83,100,0,0.000143703
15,2018,33.711263,-116.164058,0,105,100,0,6.53E-05
13,2018,33.04898,-116.78928,0,80,100,0,5.66E-05
1011,2019,33.9925,-117.059167,0,247,100,74,0.004402524
494,2019,34.01778,-117.4625,0,126,100,0,0.002151184
37,2019,33.259861,-117.027333,0,100,100,3,0.000161121
77758,2019,38.792458,-122.780053,4,55,100,374,0.338606782
54612,2019,40.061389,-120.680556,0,468,100,0,0.237814676
10296,2019,37.034,-118.345,0,269,100,0,0.044835199
9999,2019,34.302212,-118.997115,0,626,100,4,0.043541876
8838,2019,40.12,-122.64,0,1936,100,2,0.038486159
8799,2019,34.32988,-118.48161,8,206,100,19,0.038316329
5737,2019,41.748,-121.056,0,40,100,0,0.024982473
5563,2019,37.604638,-119.96606,0,19,100,1,0.024224768
4615,2019,34.472778,-118.368056,0,509,100,22,0.020096586
2534,2019,40.036379,-122.637837,4,69,100,0,0.011034615
1926,2019,33.528469,-117.273157,3,35,100,0,0.008387004
1872,2019,41.862237,-122.662258,0,515,100,0,0.008151854
756,2019,36.40193,-119.030621,0,185,100,0,0.003292095
600,2019,40.715556,-122.241944,3,187,100,14,0.002612774
526,2019,38.165873,-122.211671,0,163,100,1,0.002290532
520,2019,33.4853,-117.043723,0,235,100,0,0.002264404
496,2019,39.45296,-121.412619,0,16,100,2,0.002159893
381,2019,36.151,-118.185,0,9,100,0,0.001659111
280,2019,41.150392,-122.634108,0,259,100,0,0.001219294
260,2019,44.734,-120.606,0,40,100,0,0.001132202
225,2019,39.005262,-123.195306,3,328,100,0,0.00097979
220,2019,35.214364,-120.455883,4,515,100,0,0.000958017
200,2019,32.787656,-116.806941,0,350,100,0,0.000870925
167,2019,33.635,-116.801111,0,25,100,0,0.000727222
156,2019,40.484329,-122.159393,0,8,100,0,0.000679321
98,2019,33.900994,-117.170588,0,150,100,0,0.000426753
97,2019,33.055124,-116.742508,0,150,100,0,0.000422398
58,2019,39.470333,-121.412333,0,105,100,0,0.000252568
53,2019,38.955024,-122.833831,0,74,100,1,0.000230795
35,2019,38.652475,-120.826165,0,10,100,0,0.000152412
28,2019,38.910498,-122.642572,0,55,100,0,0.000121929
20,2019,39.088333,-122.309167,0,65,100,0,8.71E-05
10,2019,38.332083,-120.67131,1,45,100,0,4.35E-05
